3,Two people laugh.	#nn
12,A young boy is inside a couch cushion with stuffing hanging out.	daGvndnu>vvn
12,An elderly woman dressed in pink is walking and clutching a magazine.	dAGv>avv+vdn
12,A tan dog and a black dog fighting inside a fenced yard.	daa+daavndvn
12,A cowboy riding on his horse that is jumping in the air.	dnv>pndvv>dn
12,A young girl in a swimsuit stands silently on a small beach.	daG>dnnA>dan
12,A girl wearing a tan shirt and blue shorts smiles while painting.	dGvdan+anu>v
12,A young little girl in a dress stands and admires a creek.	daaG>dnn+udn
12,Two men are standing in a group appear to look at something.	#Gvv>dnu>v>v
12,A crowd of people in front of a memorial in Washington DC.	dn>n>n>dn>PP
12,A young girl looking down through some leaves from atop a tree.	daGvn>dn>udn
12,A little blond girl with a pink coat hides in a tree.	daaG>danu>dn
12,Two people are sitting down next to a white van and eating.	#nvvnn>dan+v
12,Two woman marking a paper while standing in a crowd of people.	#Gvdn>v>dn>n
12,Man in purple dress and makeup sits next to normally dressed man.	G>an+unn>AvG
12,Two people are sitting down next to a white van and eating.	#nvvnn>dan+v
12,A parasailer jumping a trick high in the air at a lake.	duvdnn>dn>dn
12,A gloved man is walking on a sidewalk near an orange van.	dvGvv>dn>dan
12,A volleyball player wearing shorts is hitting a volleyball in the sand.	dnnvnvvdn>dn
12,A brown dog wearing a blue harness jumps over the grassy field.	daavdaun>dan
12,A woman in a white top and blue shorts is playing tennis.	dG>dan+anvvn
12,A man sits on the steps next to two men with rifles.	dGn>dnn>#G>u
12,A man and a child are walking across some water using stones.	dG+dnvv>dnvu
12,Cute little girl, with a pink hair bow her orange stroller.	PaG_>danupan
12,A group of people are standing on a cliff in the mountains.	dn>nvv>dn>dn
12,Asian man sleeps under a newspaper while sitting in a lawn chair.	nGu>dn>v>dnn
12,A man sleeping on a chair with a newspaper on his chest.	dGv>dn>dn>pu
12,A man sits on the steps next to two men with rifles.	dGn>dnn>#G>u
12,A man in a leather jacket holding a helmet at a crosswalk.	dG>danvdn>dn
12,A person is laying on a blue blanket on a street sidewalk.	davv>dan>dnn
12,A child in a yellow t-shirt is playing in the jungle jim.	dn>danvv>dan
12,Young men and women sit at a picnic table in a park.	aG+Gu>dan>dn
12,Young men and women sit at a picnic table in a park.	aG+Gu>dan>dn
12,Two musicians and a singer are on a stage performing a song.	#n+duv>dnvdu
12,Four school aged children are sitting in front of a model volcano.	#nvnvv>n>dnu
12,Two large dogs run in green grass with water in the background.	#nnu>an>n>dn
12,A girl dressed in pink runs from the ocean to the beach.	dGv>au>dn>dn
12,Six children are wearing burlap sacks and having a potato sack race.	#nvvnu+vdnun
12,Boys and girls of various ages participate in a potato sack race.	G+G>nun>dnun
12,Man in a business suit holding a protest sign by the street.	G>dunvdun>dn
12,A woman bagging up fruits and vegetables to sell at a stand	dGv>u+n>u>dn
12,Three young girls standing outside near a fence smile at the camera.	#aGvn>dnn>dn
12,A man and a woman holding hands walk along a brick roadway.	dG+dGvnundan
12,A small group of people meeting together at a tree by water.	dan>nvn>dn>n
12,A half naked man pushes against the trunk of a fig tree.	davGundu>dan
12,A young lady sits in front of a fence with a bucket.	dann>n>dn>dn
12,Adolescents are sitting on the floor with strings stretched across the room.	uvv>dn>nv>dn
12,Multiple men and woman are sitting against a wall and holding strings.	nG+Gvvndn+vn
12,A group of 8 teenager sitting along a wall holding a string.	dn>uuvndnvdv
12,A group of people wait at a stop for the next trolley.	dn>nu>dundnu
12,The woman is wearing a colorful shirt and a lot of jewelry	dGvvdan+dn>u
12,The bike is being ridden by a girl in a strange outfit	dnvvn>dG>dan
12,A man is wearing a hat which is hard and is dancing	dGvvdnpvu+vv
12,A little boy is getting out of a puddle in the street	daGvvn>dn>dn
12,A brown dog is staring attentively at a brown and white dog	daavvA>da+aa
12,A bicycle is being ridden by the little boy in a race	dnvvn>daG>dn
12,Two people wearing helmets are driving over the yellow and white flowers	#nvnvv>da+an
12,A yellow dog is stopping on white snow on a sunny day	daavv>an>dan
12,A woman is performing a trick on a ramp with a bicycle	dGvvdn>dn>dn
12,An Asian woman in a crowd is not carrying a black bag	dnG>dnvnvdan
12,There is no white dog with beige spots running through a field	Evdaa>uuv>dn
12,The bunch of men are not playing rugby on a muddy field	dn>Gvnvn>dan
12,Few people are eating at red tables in a restaurant without lights	anvv>au>dnun
12,A dog is looking at a piece of furniture in a shop	davv>dn>u>dn
12,A girl in a black hat is standing topless at the beach	dG>danvvn>dn
12,A young boy in the blue shirt is jumping into the water	daG>danvv>dn
12,There is no child holding a camera in front of his face	Evdnvdn>n>pa
12,The woman is wearing a colorful shirt and a lot of jewelry	dGvvdan+dn>u
12,A person is sitting in a field and is wearing a hat	davv>dn+vvdn
12,There is no woman playing with two young boys at a park	EvdGv>#aG>dn
12,A girl is jumping rope on a sidewalk near a parking garage	dGvvn>dn>dvu
12,People are walking inside a building that has many murals on it	nvvndvduan>r
12,Two dogs are looking at something that is moving in the water	#nvv>vdvv>dn
12,Two men are standing near the water and are holding fishing poles	#Gvv>dn+vvvn
12,A dog with a golden coat is walking out of the water	da>dunvvn>dn
12,Two people are sitting on a park bench on a hot day	#nvv>dnn>dan
12,The boy is not cutting the grass by the curb with scissors	dGvnvdn>dn>u
12,A couple is standing on a patio and looking at the sky	dnvv>dn+v>dn
12,A man is tanking on a stage in front of a crowd	dGvv>dn>n>dn
12,The group of people is sitting in a room which is dim	dn>nvv>dnpva
12,There is no little kid playing football and falling into the grass	Evdanvn+v>dn
12,The people are not walking on the road beside a beautiful waterfall	dnvnv>dnndan
12,There are no men sitting at the table with four beer bottles	EvdGv>dn>#nu
12,Five kids are standing close together and one kid has a weapon	#nvvnn+#nudn
12,The adults and children are being grouped near an outdoor seating arrangement	dn+nvvv>davu
12,A female cheerleader is sitting on the knee of a male cheerleader	dGavv>dn>dGa
12,A dog is running through a field and is chasing a ball	davv>dn+vvdn
12,A man is performing a trick on a surfboard in the water	dGvvdn>dn>dn
12,A girl is wearing jeans and a pink shirt and is running	dGvvn+dan+vv
12,A man is shaking a container over a sink in the kitchen	dGvvdn>dn>dn
12,The black dog is walking along a tree trunk bridge over water	daavvndnun>n
12,The brown dog is sniffing the back of a small black dog	daavvdn>daaa
12,A black dog and a yellow dog are playing with each other	daa+daavv>da
12,A boy in blue is running away from a woman in blue	dG>avvn>dG>a
12,An adult is in the amphitheater and is talking to a boy	dnv>du+vv>dG
12,A yellow dog is running on white snow on a sunny day	daavv>an>dan
12,The brown dog is sniffing the back of a small black dog	daavvdn>daaa
12,The young boy in the blue shirt is jumping into the water	daG>danvv>dn
12,A woman is wearing a colorful shirt and a lot of jewelry	dGvvdan+dn>u
12,A woman is wearing a colorful shirt and a lot of jewelry	dGvvdan+dn>u
12,A person is wearing a hat and is sitting on the grass	davvdn+vv>dn
12,A boy in blue is running away from a woman in blue	dG>avvn>dG>a
12,People are walking outside a building that has many murals on it	nvvndvduan>r
12,Two dogs are looking at something that is splashing in the water	#nvv>vdvv>dn
12,A man is breaking a slab of concrete with a sledge hammer	dGvvdu>a>duu
12,A woman, who is old, is near a white dog	dG_qvn_v>daa
12,Two women dressed in white and black are sitting on a bench	#Gv>a+avv>dn
12,Two people in a race are flipping the tires of a tractor	#n>dnvvdu>du
12,A couple is sitting on a patio and looking at the ocean	dnvv>dn+v>dn
12,A man is passionately playing a guitar in front of an audience	dGvAvdn>n>dn
12,A distant person with a blue backpack is hiking in rocky area	dna>danvv>an
12,A boy next to some buckets of rags is holding an object	dGn>dn>uvvdn
12,A young boy covered in grass is jumping near a wooden fence	daGv>nvv>dan
12,A family is watching a little boy who is hitting a baseball	dAvvdaGqvvda
12,A person is riding a bicycle in the sand beside the ocean	davvdn>dnndn
12,A young couple will have bought the house that we are selling.	danvvndndpvv
12,She remembered being brought there, having her hair shaved and everything.	pvvnE_vpnv+v
12,Elli just prayed that every scream she heard was not her mother’s.	Puvddupuunpu
13,A woman with long blond-hair walks in front of a parked white car.	dG>auu>n>dvan
13,A blond woman shows her profile in front of a white luxury car.	daGnpu>n>daun
13,A person with long blue hair standing behind a large crowd of people.	da>aanvndnn>n
13,The woman with blue hair has a green scarf tied around her head.	dG>anudanvnpn
13,Two Indian ladies photograph the long green grass outdoors of their native land.	#Pnndaann>nnu
13,A snowboarder slides down the side of an A-frame house buried in snow.	daundn>dPnv>n
13,Two women sitting down at a party, drinking large glasses of beer.	#Gvn>dn_vnu>n
13,A drummer in a colorful mexican hat and two singers wearing white clothing.	du>daun+#uvav
13,A woman is singing into an old style microphone accompanied by a man.	dGvv>dnunv>dG
13,Two construction workers working on infrastructure, while one worker takes a break.	#nnv>u_>#nudn
13,A female wearing bicycle racing gear and a helmet is on a bike.	dGvnvn+dnv>dn
13,A young girl in an orange bathing suit plays on the beach's shore.	daG>davnn>dan
13,A older man cutting a cake for two girls sitting at a table.	dnGvdnn#Gv>dn
13,A man holds a blue notebook while he waits on the train platform.	dGudau>pu>dnn
13,A boy on a scooter rolls by as two men photograph a skateboarder.	dG>dnu>d#Gnda
13,Four men in purple shirts and two in dark gray moving a sculpture.	#G>an+#>aavdn
13,People are sitting at tables and some are looking at a dog balloon.	nvv>u+dvv>dan
13,A young woman gives directions to an older woman outside a subway station.	daGuu>dnGndnu
13,A man with a gray beard sitting outside on a plastic storage crate.	dG>danvn>duun
13,A man with a biking cap is fixing the saddle on a bicycle	dG>dvnvvdu>dn
13,A male athlete in red and yellow is diving toward a badminton birdie.	dGu>a+avvnduu
13,A man and a woman are sitting on a couch with two children.	dG+dGvv>dn>#n
13,A female and a male each sit on the sofa with a child.	dG+dGdu>dn>dn
13,A big, black dog with a red collar runs in the water.	da_aa>danu>dn
13,Young people sit on the grass near a crooked tree with pink blossoms.	anu>dn>dvn>au
13,A line of players at a soccer game, wearing red and white.	dn>n>dan_va+a
13,A woman in purple with two children in the mouth of a cave.	dG>a>#n>dn>dn
13,The mother in green is looking at her son while he is crying.	dn>avv>pu>pvv
13,A group of people standing on the lawn in front of a building.	dn>nv>dn>n>dv
13,A fancily dressed elderly man plays a baritone as it is set aflame.	dAvAGndudrvuu
13,A man in Ray-Ban sunglasses and a black v-neck holds a stringed instrument.	dG>Pn+dauudvn
13,A little kid in a red jacket riding a broom like a horse.	dan>danvdnudn
13,Some people are on a snow-covered mountain holding ski poles and wearing backpacks.	dnv>dvnvan+vn
13,An Asian man in an orange jacket carries a high stack of boxes.	dnG>danndnu>u
13,A soccer team wearing white shirts and maroon shorts stand in a line.	danvan+unn>dn
13,A line of players at a soccer game, wearing red and white.	dn>n>dan_va+a
13,Two men standing on a dock next to three people in a canoe.	#Gv>dnn>#n>dn
13,Two black-robed young men stand on the steps in front of a building.	#vaGn>dn>n>dv
13,A young boy in a white jacket riding his bike on the patio.	daG>danvpn>dn
13,Two dogs are shaking themselves dry on the path next to the water.	#nvvnu>dnn>dn
13,A man with tattoos carrying a skateboard gives thumbs up on the sidewalk.	dG>uvdnuu>>dn
13,An all male choir and soloist are performing, with a piano nearby.	ddGn+uvv_>dna
13,A family of all ages sitting on the floor playing a board game.	dA>duv>dnvdnn
13,Four men with baseball caps and logo t-shirts laughing together at a table.	#G>an+unvn>dn
13,A man with a cowboy hat is riding a horse that is jumping.	dG>dnnvvdndvv
13,A woman is sitting on a rock at the edge of some water.	dGvv>da>dn>dn
13,A man in a brownish green shirting playing guitar singing into a microphone	dG>duavvnv>dn
13,A group of DHL employees pose in the parking lot for a photograph.	dn>Puu>dvnndn
13,A group of employees are posing for a photo outside of a building.	dn>uvvndnn>dv
13,A man in a hat is playing a harmonica while strumming a guitar.	dG>dnvvdu>vdn
13,A boy in blue jumps on a skateboard while two others watch him	dG>an>dn>#nup
13,Two men are pointing at pictures around the head of a third man.	#Gvv>nndn>duG
13,Guys wearing yellow, red, and blue are running in the grass.	nva_a_+avv>dn
13,A person on a bike rides through a dirt course near the water.	da>dnu>dau>dn
13,A man in a white hat stand on the street holding colorful paper.	dG>dann>dnvan
13,A woman is directing a group of men and woman during singing class.	dGvvdn>G+G>vu
13,Child wearing fireman's hat sits on ground next to man holding a handsaw.	nvunn>nn>Gvdn
13,Two women and a baby in a stroller in front of a store.	#G+da>dn>n>dn
13,A young man wearing a purple shirt does the limbo in a gymnasium.	daGvdanudu>da
13,Two men in matching formal wear stand next to each other, smiling.	#G>vuunn>da_v
13,Two girls in shorts and T-shirts are laughing while sitting on wooden steps.	#G>n+nvv>v>an
13,Two women in shorts sitting on the steps of an apartment or house.	#G>nv>dn>ducn
13,Two girls are sitting on the steps, and one girl is laughing.	#Gvv>dn_+#Gvv
13,A construction site with 2 guys on ladder and platforms performing ceiling repairs.	dnu>un>u+nvvn
13,A dog swims in the pool while another dog watches from the deck.	dan>dn>nau>dn
13,The bride and groom are getting served a drink at their wedding reception.	du+uvvvdn>nvu
13,Two girls are walking by a tree in front of a brick building.	#Gvv>dn>n>dav
13,A man grills hotdogs and bratwurst on a grill on a street corner.	dGnu+u>dn>dnn
13,Musician plays a white electric guitar with a band at an outdoor concert	nndaan>dn>dan
13,A man in a white shirt playing a white guitar on a stage.	dG>danvdan>dn
13,A group of DHL employees pose in the parking lot for a photograph.	dn>Puu>dvnndn
13,A group of employees are posing for a photo outside of a building.	dn>uvvndnn>dv
13,White man with glasses sitting next to another man who has earphones in.	aG>uvn>nGquu>
13,A young man is taking his shirt off while performing on the street.	daGvvpnn>v>dn
13,A man wearing shorts and black shoes performs in front of a crowd.	dGvn+auu>n>dn
13,Two people in jockey outfits are riding horses in a field of grass.	#n>unvvn>dn>n
13,A woman is being photographed as she stands next to an artistic monument.	dGvvvdpnn>duu
13,A girl outside a building dressed in crazy clothes jumping in the air.	dGndvv>uuv>dn
13,A group of cheerleaders are lifting up two other cheerleaders above their heads.	dn>nvv>#annnn
13,A young girl in a striped shirt wears a bowl on her head.	daG>dvnudn>pn
13,A young girl sitting at a table with a bowl on her head	daGv>dn>dn>pn
13,A person sits on the floor and eats in front of a television.	dan>dn+u>n>dn
13,An old man wearing a green bowtie and glasses looking toward the camera.	dnGvdan+uvndn
13,Four people, three girls, one boy, are in a boat.	#n_#G_#G_v>dn
13,A white dog with brown marks jumps from the bank into the water.	daa>aun>dn>dn
13,Two dogs are shaking themselves dry on the path next to the water.	#nvvnu>dnn>dn
13,A little girl jumped with her arms stretched out in front of her.	daGv>puvn>n>p
13,A young girl jumps in the air in front of a white house.	daGn>dn>n>dan
13,An African American woman is sitting on a bench talking on her cellphone.	dnnGvv>dnv>pn
13,A crowd next to a lake on a port next to a boat	dnn>dn>dun>dn
13,A man with a biking cap is fixing the saddle on a bicycle	dG>dvnvvdu>dn
13,A little kid in a red jacket riding a broom like a horse.	dan>danvdnudn
13,A cowboy at a rodeo is roping a cow while riding a horse.	dn>dnvvdn>vdn
13,A woman with long blond-hair walks in front of a parked white car.	dG>auu>n>dvan
13,A blond woman shows her profile in front of a white luxury car.	daGnpu>n>daun
13,A man wearing a bright, multi-color helmet is sitting on a motorcycle.	dGvdu_unvv>dn
13,A man with long dreadlocks is stopped by two men in blue uniforms.	dG>auvv>#G>an
13,A man with a cowboy hat is riding a horse that is jumping.	dG>dnnvvdndvv
13,A boy and girl are playing in bed on top of their father.	dG+Gvv>n>n>nn
13,Blond-haired girl in pink dress with blue striped hula-hoop swinging around her neck.	vG>an>avuvnpu
13,A little girl in a pick dress hula hoops with her neck outside.	daG>dunan>pun
13,A girl wearing a pink dress swings a hula hoop around her neck.	dGvdanvdannpu
13,Two women and a baby in a stroller in front of a store.	#G+da>dn>n>dn
13,Two women and a baby in a stroller in front of a store.	#G+da>dn>n>dn
13,A blond baby is watching a dark-haired baby chew on a blue toy.	daavvdvau>dan
13,A group of little kids enjoy sandwiches and a slush at a picnic.	dn>anuu+du>da
13,A female athlete is racing ahead in a jogging suit and tennis shoes.	dGuvvn>dvn+nu
13,A boy in blue jumps on a skateboard while two others watch him	dG>an>dn>#nup
13,Two cowboys ride their horses and they work together to catch the bull.	#nunn+pvn>udn
13,A woman in a white tennis outfit has just performed a tennis serve.	dG>dannuuvdnu
13,Two women walking down the sidewalk in the city communicating with one another.	#Gvndn>dnv>#n
13,A boy on a scooter rolls by as two men photograph a skateboarder.	dG>dnu>d#Gnda
13,A woman with a purple shirt sowing on the side of the street.	dG>danv>dn>dn
13,A mexican man unfolds a large piece of paper at a birthday celebration.	duGudnn>n>duu
13,One man sets up his pool shot during a tournament while onlookers watch.	#Gu>pnn>dn>uu
13,Man with black vest lines up a shot on a blue pool table.	G>anu>dn>dann
13,A guy and a girl holding a drink are dancing in the street.	dn+dGvdnvv>dn
13,A Black male is beside a building with a sign on the building.	daGvndv>dn>dv
13,A man stands in front of a building wearing a hat and suit.	dGn>n>dvvdn+n
13,A mother and daughter are on the strawberry cup ride at the fair.	dn+uv>dnnu>dn
13,Street in Europe where a group of men are sitting on their motorcycles.	n>Pqdn>Gvv>nu
13,A man is falling out of his kayak as his paddles go flying.	dGvvn>pudpuvv
13,A man attempting to hit a pool ball, while other men watch.	dGv>vdnn_>aGu
13,Man with black vest lines up a shot on a blue pool table.	G>anu>dn>dann
13,A person in a baseball cap and jeans resting on a brown couch.	da>dan+nv>dan
13,A man in a green shirt is jumping a ramp on his skateboard.	dG>danvvdn>pn
13,A young girl in a striped shirt wears a bowl on her head.	daG>dvnudn>pn
13,A young girl sitting at a table with a bowl on her head	daGv>dn>dn>pn
13,Two shirtless men practicing Capoeira on a beach with water in the background.	#uGvP>dn>n>dn
13,A black and brown dog pokes his head above the white farm animals.	da+aaupnndaun
13,A girl in pink runs away from a wave coming onto the shore.	dG>aun>dnvndn
13,Several women are wrapping themselves up in pink, blue and white ribbon.	nGvvn>>a_a+au
13,A woman screams into a microphone with orange messy hair and green eyeshadow.	dGu>dn>aun+an
13,Three boys in white shirts are walking behind an older model Ford car.	#G>anvvndnnPn
13,Performers dressed in browns and blacks are dancing with speakers in the background.	uv>a+avv>u>dn
13,A woman and a child in front of a Christmas tree opening presents.	dG+dn>n>danvn
13,A child and a woman are sitting in front of a Christmas tree	dn+dGvv>n>dan
13,A woman is holding a young child who is wearing a chef's hat.	dGvvdanqvvdan
13,A photo of bicycle wheels includes several blurred human figures in the background.	dn>nuunvua>dn
13,A little kid in red has a green Easter pail on their head.	dan>audaPu>nn
13,A woman with pink hair leaning against a building while people walk by.	dG>anvndv>nu>
13,A blond woman taking a photo of her young son in his bedroom.	daGvdn>pau>pa
13,Group of people sitting on beach around campfire drinking soda pop and talking.	n>nv>nnuvuu+v
13,A group of people are sitting a campfire at night in the woods.	dn>nvvdu>n>da
13,A group of people pose for a picture by a metal guard rail.	dn>nundn>daan
13,Two men in front of a projector screen, one at a microphone.	#G>n>dun_#>dn
13,A person is sprinkling seasoning on several sliced and buttered loaves of bread	davvv>nv+vu>u
13,The black dog is not walking along a tree trunk bridge over water	daavnvndnun>n
13,A kid wearing a striped shirt is running barefoot on the sandy hill	dnvdvnvvn>dan
13,A little dog is sprinting and its owner is trying to catch it	daavv+ruvv>ur
13,Children are playing in a fountain that is spraying water from the ground	nvv>dudvvn>dn
13,A black dog is sitting in the grass and keeping its mouth closed	daavv>dn+vrnv
13,A black dog is sitting in the grass and keeping its mouth closed	daavv>dn+vrnv
13,The man is putting away the camera and walks away from the beach	dGvvndn+un>dn
13,Some students in uniforms are listening attentively at the front of the class	du>nvvA>dn>du
13,A dog, which is small, is playing on the green grass	da_pva_vv>dan
13,A boy of young age is playing in the park with his mother	dG>auvv>dn>pn
13,A homeless man is holding up a sign and is begging for money	duGvv>dn+vvnu
13,Three people are walking across a rope and steel bridge over a river	#nvv>dn+un>dn
13,The man in blue is posing for a picture next to a vehicle	dG>avvndnn>dn
13,The teens are talking to a boy and a girl with a webcam	dnvv>dG+dG>dn
13,Two men are carrying colorful baskets and blankets and walking near a building	#Gvvau+n+v>dv
13,A child is walking down the street and a jeep is pulling up	dnvvndn+duvv>
13,The men in brown shorts are walking on the rocks beside a river	dG>anvv>dandn
13,A person is climbing a rock with a rope, which is pink	davvda>dn_pva
13,A person is climbing a rock with a rope, which is pink	davvda>dn_pva
13,Two toddlers are eating corndogs in a wagon, which is really small	#nvvn>du_pvAa
13,The black and white dog is running and a person stands behind it	da+aavv+dannr
13,The men in brown shorts are walking on the rocks beside a river	dG>anvv>dandn
13,Two adults are standing on a scooter in a field of yellow flowers	#nvv>dn>dn>an
13,A nude lady is walking in front of a crowd in body paint	dunvv>n>dn>nn
13,A man with a jersey is dunking the ball at a basketball game	dG>dnvvdn>dan
13,A dog is chasing another and is holding a stick in its mouth	davvn+vvdu>rn
13,A man in a red shirt is doing a trick with the skateboard	dG>danvvdn>dn
13,Three young men are running, jumping and kicking near a vending machine	#aGvv_v+v>dvn
13,The black and white dog is running and a person stands behind it	da+aavv+dannr
13,Two small boys dressed in tuxedos are sitting on a red carpeted floor	#aGv>uvv>davn
13,A girl in a black hat is wearing a bikini at the beach	dG>danvvdn>dn
13,The man in blue is posing for a picture next to a car	dG>avvndnn>dn
13,A man is spraying a super soaker into the mouth of a dog	dGvvdan>dn>da
13,A man is spreading butter on a piece of bread which is big	dGvvn>dn>upva
13,A person is climbing a rock with a rope, which is pink	davvda>dn_pva
13,Two people are carrying colorful baskets and blankets and walking near a building	#nvvau+n+v>dv
14,A man and a child in a hard hat are sawing at a tree.	dG+dn>dunvv>dn
14,A black woman carrying citrus fruits on a platter that is on her head.	daGvuu>dudv>pn
14,A man is laying out his merchandise to include eggs, chickens and vegetables.	dGvvnpu>un_n+n
14,A man wearing a top hat with green pink and purple feathers on it.	dGvdnn>aa+au>r
14,A man in an unusual outfit is standing with a cigar in his mouth.	dG>dunvv>dn>pn
14,A man wearing a cap and glasses is fixing the seat of a bicycle.	dGvdn+uvvdu>dn
14,A boy snow tubing on a green, blue, and yellow colored tube.	dGnv>da_a_+avu
14,A boy in a tie dyed shirt is riding a skateboard down a railing.	dG>duvnvvdnndv
14,A man walking past a lamp post with a sign saying 'no dogs allowed'.	dGvnduu>dnvCnC
14,A woman in a floral print blouse talks on her cellphone on the sidewalk.	dG>duuuu>pn>dn
14,The students sitting on the grass are eating a lunch from a red backpack.	duv>dnvvdu>dan
14,A hockey player wearing a red uniform reaches for the puck as others follow.	dnnvdanundndnu
14,Kids sitting on the floor against the wall with rope all over the floor.	nv>dnndn>nd>dn
14,A man wearing a black t-shirt and sunglasses holds the neck of a bass.	dGvdan+nudu>du
14,Adults and children stand and play in front of steps near a wooded area.	n+nn+u>n>n>dvn
14,A masked man plays a violin while wearing a silky red outfit and hat.	dvGndn>vduan+n
14,In China, a man gets out of a port-a-potty while another man waits.	>P_dGvn>dn>nGu
14,A group dressed in wintery attire of people on a sidewalk in Washington D.C.	dnv>uu>n>dn>PP
14,A young girl in a bikini looks at the water breaking upon the shore.	daG>dnv>dnv>dn
14,A man in a yellow shirt is putting a new roof on a building.	dG>danvvdnn>dv
14,A child is sticking her head out of the 0095 taxi cab and screaming.	dnvvpnn>duuu+v
14,A crying child in a parked car, clutches at the rolled down window.	dvn>dvn_u>dvnn
14,A baby is crying inside of a white car with red and yellow stripes.	davvn>dan>a+au
14,A man is laying back while a man and woman look in his direction.	dGvvn>dG+Gv>pu
14,Many people taking pictures of the mountains in front of a no truck sign	anvn>dn>n>ddan
14,A sports team made up of 14 Women waring white t-shirt and pink tags.	danu>>uGvan+au
14,A little boy rides his bike among shadows next to a round metal table.	daGupn>un>duan
14,A young boy on his bike rides past a table and looks around him.	daG>pnundn+vnp
14,A man with a mustache wearing a black and red plaid shirt plays guitar.	dG>duvda+aunnn
14,A young woman dressed in black walking on pavement in front of a lake	daGv>av>n>n>dn
14,Older man in blue shirt staring down at a beer can in his hand.	nG>anvn>dnv>pu
14,Seven people are sitting at a picnic table with evergreen trees in the background.	#nvv>dan>uu>dn
14,A woman walking towards us on a street with a seated man looking on.	dGvnu>dn>dvGv>
14,The staff of a DHL pose outside of the building for a group photo.	du>dPun>dvndnn
14,A boy in blue jumps his skateboard off some steps while his friends watch.	dG>anpnndn>pnu
14,A young man dressed in classic grunge gear grinds a rail on his skateboard.	daGv>uunndn>pn
14,A black dog holding a weight in its mouth stands next to a person.	daavdu>rnnn>da
14,Five young women sitting on a green bench wearing headbands with feathers in them.	#aGv>danvu>u>p
14,A man wearing a yellow helmet with his visor up rides a red motorbike.	dGvdan>pu>udan
14,A person is in the air on a bike near a body of water.	dav>dn>dn>dn>n
14,A man with glasses and black jacket stands as he sculpts a strange-shaped sculpture.	dG>u+anndpudvn
14,People with bags walk along a dirt road in front of a green building.	n>nundan>n>dav
14,A man and a child in a hard hat are sawing at a tree.	dG+dn>dunvv>dn
14,Two young men are signing up for sign up for a basketball related event.	#aGvv>nn>ndavn
14,A group of men in jumpsuits walk along the dock of the Bumi Jaya.	dn>G>nundn>dPP
14,Four men and one women are discussing something together on a stage with microphones.	#G+#Gvvvn>dn>u
14,A group of people running a marathon round a curve as spectators look on.	dn>nvdnudnduv>
14,One blue team and one white team are competing to win a sports game.	#an+#anvv>udan
14,A man sleeps while listening to his iPod in the back of a vehicle.	dGu>v>pu>dn>dn
14,Two parents walk past each other on the street with their kids in strollers.	#uunda>dn>nn>n
14,Two women are standing in a store with a baby in a blue stroller.	#Gvv>dn>da>dan
14,A woman in a black shirt proudly is holding up a freshly baked pie.	dG>danAvv>dAvu
14,A large crowd of people next to a huge table with bananas on it.	dnn>nn>dan>n>r
14,An arrow pointing at a man in a white hat who is walking by.	duv>dG>danqvv>
14,Two people dressed in winter apparel venture out onto a frozen body of water.	#nv>nuunndun>n
14,Five young women sitting on a green bench wearing headbands with feathers in them.	#aGv>danvu>u>p
14,A parade of men hold red and yellow flags as they wave them proudly.	du>Gua+andpnpA
14,A family is standing in front of a silver car in a metro area.	dAvv>n>dnn>dan
14,The staff of a DHL pose outside of the building for a group photo.	du>dPun>dvndnn
14,A blond man wearing glasses is sitting in the train looking down at something.	daGvuvv>dnvn>v
14,Three small children are playing with a yellow toy on a tiny green table.	#anvv>dan>duan
14,A man is on the ground taking his shirt off as a crowd watches.	dGv>dnvpnnddnu
14,Two people, each on a horse, riding English style in a competition.	#n_d>dn_vPu>dn
14,Many people busily working, watching a presentation, or talking to each other.	anAv_vdn_cv>da
14,A man wearing a black short-sleeve shirt is waiting in line with his luggage.	dGvdaunvv>n>pu
14,The large brown dog is running through the grass to catch a red Frisbee.	dnaavv>dn>udaP
14,A boy in a tie dyed shirt is riding a skateboard down a railing.	dG>duvnvvdnndv
14,A young woman dressed in black walking on pavement in front of a lake	daGv>av>n>n>dn
14,A toddler sits on a white rug and plays with a cup of flour.	dnn>dau+n>dn>a
14,Tattooed guy in a white shirt looking out of a Ice cream truck window.	vn>danvn>dnuan
14,A man wearing a cap and glasses is fixing the seat of a bicycle.	dGvdn+uvvdu>dn
14,A policeman walks away from a gate with a large brown and black dog.	dnun>dn>dna+aa
14,A young girl with long brown hair holding a black and red striped stick.	daG>aanvda+avu
14,A young, blond girl is sitting in a tree in a snowy environment.	da_aGvv>dn>dan
14,A man wearing a colorful helmet while on some type of motorcycle or scooter.	dGvdan>>dn>ncn
14,3 people passing the bus stop while on a bike ride down the street.	unvdnu>>dnundn
14,An Asian girl makes a surprised face while wearing a shirt that says ""Radio""	dnGudva>vdnduu
14,Brunette woman wearing a red t-shirt lounging outside with a laptop on her lap.	PGvdanvn>dn>pu
14,A girl in a red shirt is sitting with a laptop on her lap.	dG>danvv>dn>pu
14,3 men on a boat at sea, with multiple seagulls in the background.	uG>dn>n_>nu>dn
14,A boy with a tiger t-shirt stands on top of someone in a bed.	dG>dnnn>n>p>dn
14,A group of people are standing behind a fence, many are taking photographs.	dn>nvvndn_avvn
14,A fireman douses a red truck that is smoking as a police officer approaches.	duudaadvvddnnu
14,Two women are standing in a store with a baby in a blue stroller.	#Gvv>dn>da>dan
